#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
47,90:6c:ac:a0:3d:eb,Guest,3,-73.0,32.10324613675851,35.209444406402206,696.219319814052,2017-12-03 08:41:13
48,1c:b9:c4:15:1c:bc,Ariel_University,36,-90.0,32.103388164157224,35.209780212663475,713.0579802632583,2017-12-03 08:46:43
49,00:27:19:13:fc:a4,KCG_20,11,-85.0,32.105780737828404,35.21207285063565,690.385079719126,2017-12-03 08:39:25
50,24:79:2a:2b:02:78,Ariel_University,6,-80.0,32.10381301,35.21016707,708.0,2017-12-03 09:06:35
51,1c:b9:c4:94:2f:67,,36,-84.0,32.10293474085022,35.20878314332855,707.5299710413922,2017-12-03 08:50:36
52,d0:bf:9c:db:31:30,HP-Print-30-Officejet 7610,6,-73.0,32.104662110475736,35.20981817723731,703.9686724218899,2017-12-03 08:45:15
53,ec:8c:a2:09:93:b8,Ariel_University,11,-90.0,32.10297429619621,35.20769754582129,690.9460551220589,2017-12-03 08:37:45
54,24:79:2a:2b:34:e8,Ariel_University,1,-90.0,32.10507123327566,35.21145722461369,693.5785828198289,2017-12-03 08:40:16
55,1c:b9:c4:95:23:57,,36,-92.0,32.104079300627305,35.20894493919268,693.2106002961864,2017-12-03 08:41:10
56,1c:b9:c4:96:05:77,,36,-90.0,32.10490479074945,35.211247446727874,697.4311692397619,2017-12-03 08:42:59
57,1c:b9:c4:16:05:78,Ariel_University,6,-78.0,32.104538218764056,35.20978327504329,699.3340276153539,2017-12-03 08:45:28
58,1c:b9:c4:15:23:58,Ariel_University,6,-78.0,32.104051165,35.209245190000004,689.0,2017-12-03 08:50:25
59,3c:52:82:ef:d4:56,DIRECT-55-HP DeskJet 3630 series,6,-73.0,32.10214469198605,35.209092070738286,689.1669146640586,2017-12-03 08:41:44
60,e4:95:6e:40:87:1a,OOP_course,1,-20.0,32.10300921,35.2096084,701.0,2017-12-03 09:01:13
61,1c:b9:c4:16:f1:48,Ariel_University,1,-73.0,32.10220711277429,35.2090047452854,689.1669146640586,2017-12-03 08:41:44
62,3c:52:82:ef:d4:52,DIRECT-51-HP DeskJet 3630 series,6,-72.0,32.1036443285623,35.20996056146965,698.479233226837,2017-12-03 08:51:24
63,90:6c:ac:a0:7b:4d,EVE,11,-64.0,32.10461583961367,35.209765986967234,689.0895276097044,2017-12-03 08:40:58
64,1c:b9:c4:96:cd:17,,36,-89.0,32.105448644069995,35.21192983211315,691.5885470680463,2017-12-03 08:39:34
65,1c:b9:c4:96:f1:47,,36,-83.0,32.10215532094677,35.20926006509077,703.336196116465,2017-12-03 08:50:49
66,00:11:6b:11:7e:0c,yosh,1,-87.0,32.104642294117944,35.21062437104601,693.4166644515457,2017-12-03 08:55:45
67,70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,11,-84.0,32.10474846,35.21005988,687.0,2017-12-03 08:45:10
68,8c:0c:90:2e:16:88,Ariel_University,11,-78.0,32.103481938012976,35.209275503804456,695.429939148073,2017-12-03 09:03:09
69,24:79:2a:2b:24:98,Ariel_University,1,-81.0,32.104086771133765,35.21069948347492,696.744565292418,2017-12-03 08:42:32
70,00:27:22:f3:bb:3a,,6,-86.0,32.10353355128237,35.20781291804855,690.5795129917332,2017-12-03 08:38:10
71,1c:b9:c4:14:30:3c,Ariel_University,44,-80.0,32.10303261889668,35.20969811288614,705.8647769533317,2017-12-03 08:55:14
72,84:c9:b2:4a:e7:87,dlink,2,-86.0,32.1044140461797,35.20788087493433,689.9496964638441,2017-12-03 08:38:22
73,00:8c:54:90:ce:d1,victoria,11,-89.0,32.10251743683182,35.2073387273908,695.5775665899107,2017-12-03 08:37:24
74,1c:b9:c4:16:cd:18,IT-MNG,1,-75.0,32.10576014887555,35.21206399289527,690.460869314654,2017-12-03 08:39:25
75,1c:b9:c4:15:25:4c,Ariel_University,44,-87.0,32.10474846,35.21005988,687.0,2017-12-03 08:45:10
76,f8:e7:1e:33:87:3c,Police_Shomron ,36,-86.0,32.10578181130056,35.21207187967583,690.5323471428377,2017-12-03 08:39:28
77,1c:b9:c4:15:3a:28,Ariel_University,1,-87.0,32.105448644069995,35.21192983211315,691.5885470680463,2017-12-03 08:39:34
78,00:25:86:cc:00:f8,AUC_54_R,5,-74.0,32.10398434094102,35.20828642235602,691.4237420125255,2017-12-03 08:41:16
79,24:79:2a:2b:24:9c,Ariel_University,36,-87.0,32.104065424799884,35.21056380796895,697.5076283965512,2017-12-03 08:42:32
80,1c:b9:c4:94:36:f7,,36,-89.0,32.10421174650141,35.211189336085184,697.9876832678715,2017-12-03 08:42:41
81,8c:0c:90:af:76:53,,6,-90.0,32.105210120790346,35.21178480914369,692.3377115782242,2017-12-03 08:39:49
82,34:0b:01:19:21:42,afikim-wifi,7,-91.0,32.10253330333696,35.20726399020641,699.287760530489,2017-12-03 08:37:10
83,1c:b9:c4:15:25:48,Ariel_University,1,-72.0,32.10469951651665,35.20991429317792,702.0716588184786,2017-12-03 08:45:12
84,1c:b9:c4:16:f1:5c,Ariel_University,52,-77.0,32.10321334379989,35.20970921734608,702.594246423773,2017-12-03 09:00:33
85,1c:b9:c4:16:f1:58,Ariel_University,6,-72.0,32.10300948899487,35.20963486834608,699.3994420948438,2017-12-03 09:00:33
86,1c:b9:c4:15:3a:38,Ariel_University,11,-74.0,32.10200219968475,35.209614307400614,701.4788533495818,2017-12-03 08:50:55
87,48:ee:0c:3e:86:dd,tachlit3,7,-85.0,32.102383542734515,35.2088367634866,689.4879837201058,2017-12-03 08:41:40
88,24:79:2a:2b:34:a8,Ariel_University,11,-92.0,32.105338150765675,35.21187487697705,692.0554072332519,2017-12-03 08:39:37
89,24:c9:a1:36:52:d8,Ariel_University,1,-90.0,32.10481856308317,35.210123150849206,726.1049342872047,2017-12-03 08:53:41
90,f8:e9:03:12:ef:3b,ShapeDo,6,-67.0,32.10456787824365,35.20968245817704,689.7342613927822,2017-12-03 08:40:58
