#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
47,90:6c:ac:a0:3d:eb,Guest,3,-73.0,699.731408946394,35.20922846375579,32.103635443118556,2017-12-03 08:54:05
48,1c:b9:c4:15:1c:bc,Ariel_University,36,-90.0,713.0579802632583,35.209780212663475,32.103388164157224,2017-12-03 08:46:43
49,00:27:19:13:fc:a4,KCG_20,11,-85.0,694.5187617004623,35.211813446554004,32.10520095441039,2017-12-03 08:47:21
50,24:79:2a:2b:02:78,Ariel_University,6,-80.0,708.0,35.21016707,32.10381301,2017-12-03 09:06:35
51,1c:b9:c4:94:2f:67,,36,-84.0,707.5299710413922,35.20878314332855,32.10293474085022,2017-12-03 08:50:36
52,d0:bf:9c:db:31:30,HP-Print-30-Officejet 7610,6,-73.0,695.9864142676977,35.2098436761803,32.10465458359187,2017-12-03 08:49:58
53,ec:8c:a2:09:93:b8,Ariel_University,11,-90.0,690.9460551220589,35.20769754582129,32.10297429619621,2017-12-03 08:37:45
54,24:79:2a:2b:34:e8,Ariel_University,1,-90.0,693.5785828198289,35.21145722461369,32.10507123327566,2017-12-03 08:40:16
55,1c:b9:c4:95:23:57,,36,-92.0,693.2106002961864,35.20894493919268,32.104079300627305,2017-12-03 08:41:10
56,1c:b9:c4:96:05:77,,36,-90.0,697.4311692397619,35.211247446727874,32.10490479074945,2017-12-03 08:42:59
57,1c:b9:c4:16:05:78,Ariel_University,6,-78.0,700.7059114657255,35.21030982044927,32.10471077404331,2017-12-03 08:44:42
58,1c:b9:c4:15:23:58,Ariel_University,6,-78.0,689.9727887118731,35.209126850618865,32.1040524684407,2017-12-03 08:45:28
59,3c:52:82:ef:d4:56,DIRECT-55-HP DeskJet 3630 series,6,-73.0,694.1649424257095,35.2092902710175,32.10218764306504,2017-12-03 08:46:09
60,e4:95:6e:40:87:1a,OOP_course,1,-20.0,701.0,35.2096084,32.10300921,2017-12-03 09:01:13
61,1c:b9:c4:16:f1:48,Ariel_University,1,-73.0,693.8738864635395,35.209224656135646,32.10225788704907,2017-12-03 08:50:44
62,3c:52:82:ef:d4:52,DIRECT-51-HP DeskJet 3630 series,6,-72.0,700.2261390612397,35.20990817770251,32.10360702437693,2017-12-03 08:42:14
63,90:6c:ac:a0:7b:4d,EVE,11,-64.0,687.6462581958652,35.20992442658789,32.10468953613204,2017-12-03 08:49:55
64,1c:b9:c4:96:cd:17,,36,-89.0,691.5885470680463,35.21192983211315,32.105448644069995,2017-12-03 08:39:34
65,1c:b9:c4:96:f1:47,,36,-83.0,703.3361961164649,35.20926006509077,32.10215532094677,2017-12-03 08:50:49
66,00:11:6b:11:7e:0c,yosh,1,-87.0,693.7375363950923,35.210827116172304,32.10471088647362,2017-12-03 08:55:45
67,70:5a:0f:57:04:17,DIRECT-B1-HP DeskJet 3830 series,11,-84.0,687.0,35.21005988,32.10474846,2017-12-03 08:45:10
68,8c:0c:90:2e:16:88,Ariel_University,11,-78.0,700.1139500228709,35.209562524363626,32.10372667320466,2017-12-03 08:47:06
69,24:79:2a:2b:24:98,Ariel_University,1,-81.0,694.7682635009743,35.21062416797126,32.104250810070795,2017-12-03 08:47:09
70,00:27:22:f3:bb:3a,,6,-86.0,690.5795129917332,35.20781291804855,32.10353355128237,2017-12-03 08:38:10
71,1c:b9:c4:14:30:3c,Ariel_University,44,-80.0,701.7019225009692,35.20969269755819,32.10298530383412,2017-12-03 08:42:05
72,84:c9:b2:4a:e7:87,dlink,2,-86.0,689.9496964638441,35.20788087493433,32.1044140461797,2017-12-03 08:38:22
73,00:8c:54:90:ce:d1,victoria,11,-89.0,695.5775665899107,35.2073387273908,32.10251743683182,2017-12-03 08:37:24
74,1c:b9:c4:16:cd:18,IT-MNG,1,-75.0,690.460869314654,35.21206399289527,32.105760148875554,2017-12-03 08:39:25
75,1c:b9:c4:15:25:4c,Ariel_University,44,-87.0,687.0,35.21005988,32.10474846,2017-12-03 08:45:10
76,f8:e7:1e:33:87:3c,Police_Shomron ,36,-86.0,690.5323471428377,35.21207187967583,32.10578181130056,2017-12-03 08:39:28
77,1c:b9:c4:15:3a:28,Ariel_University,1,-87.0,691.5885470680463,35.21192983211315,32.105448644069995,2017-12-03 08:39:34
78,00:25:86:cc:00:f8,AUC_54_R,5,-74.0,693.5284770660688,35.20818644933492,32.10365113349193,2017-12-03 08:37:10
79,24:79:2a:2b:24:9c,Ariel_University,36,-87.0,697.5076283965512,35.21056380796895,32.104065424799884,2017-12-03 08:42:32
80,1c:b9:c4:94:36:f7,,36,-89.0,697.9876832678715,35.211189336085184,32.10421174650141,2017-12-03 08:42:41
81,8c:0c:90:af:76:53,,6,-90.0,692.3377115782242,35.21178480914369,32.105210120790346,2017-12-03 08:39:49
82,34:0b:01:19:21:42,afikim-wifi,7,-91.0,699.287760530489,35.20726399020641,32.10253330333696,2017-12-03 08:37:10
83,1c:b9:c4:15:25:48,Ariel_University,1,-72.0,701.792347634516,35.209915031396164,32.10469337282263,2017-12-03 08:50:00
84,1c:b9:c4:16:f1:5c,Ariel_University,52,-77.0,703.941478824367,35.20975755219821,32.1033105561659,2017-12-03 08:51:21
85,1c:b9:c4:16:f1:58,Ariel_University,6,-72.0,701.2633120860185,35.20995092953096,32.10334570749863,2017-12-03 08:47:06
86,1c:b9:c4:15:3a:38,Ariel_University,11,-74.0,699.432782043891,35.20951543418148,32.10203099274982,2017-12-03 08:50:52
87,48:ee:0c:3e:86:dd,tachlit3,7,-85.0,689.4879837201058,35.208836763486595,32.102383542734515,2017-12-03 08:41:40
88,24:79:2a:2b:34:a8,Ariel_University,11,-92.0,692.0554072332519,35.21187487697705,32.105338150765675,2017-12-03 08:39:37
89,24:c9:a1:36:52:d8,Ariel_University,1,-90.0,726.1049342872047,35.210123150849206,32.10481856308317,2017-12-03 08:53:41
90,f8:e9:03:12:ef:3b,ShapeDo,6,-67.0,689.4143706947036,35.20959198198432,32.10477209848867,2017-12-03 08:38:52
91,f8:e9:03:12:ef:3c,ShapeDo-5GHz,60,-75.0,689.8684136221324,35.209679316065845,32.10456801210062,2017-12-03 08:40:58
92,1c:b9:c4:14:36:f8,Ariel_University,6,-78.0,694.6482809964774,35.211279570886184,32.104519883098945,2017-12-03 08:40:34
93,1c:b9:c4:96:f1:57,,52,-82.0,703.9055825038959,35.20974024367279,32.103260452095796,2017-12-03 08:51:21
94,1c:b9:c4:16:cd:1c,Ariel_University,36,-88.0,690.5323471428377,35.21207187967583,32.10578181130056,2017-12-03 08:39:28
95,00:1a:dd:f4:ef:c4,,1,-87.0,688.8993666020681,35.21138726608906,32.10614939016676,2017-12-03 08:39:13
96,1c:b9:c4:95:3a:37,,44,-87.0,690.6637923310731,35.209305441513706,32.10204840896786,2017-12-03 08:41:47
97,00:1a:dd:f4:ef:c5,Afikim_Wifi,1,-81.0,688.7624378298848,35.21106968179408,32.106089276564596,2017-12-03 08:39:10
98,cc:fa:00:ae:93:46,bezek freeee,6,-86.0,692.0341048029707,35.20757686137406,32.10263460161589,2017-12-03 08:37:36
99,c0:4a:00:71:ee:ee,Onicom,9,-81.0,699.2249391711212,35.209807180370774,32.103488096295486,2017-12-03 08:42:17
100,00:27:22:f3:bb:2b,,6,-85.0,705.4863232281272,35.20942539110444,32.10405974104211,2017-12-03 08:54:02
101,70:5a:0f:57:42:43,DIRECT-42-HP DeskJet 3830 series,11,-75.0,687.0,35.20959776,32.10447804,2017-12-03 08:45:19
102,1c:b9:c4:16:f1:4c,Ariel_University,36,-84.0,689.2517761973078,35.209089103693636,32.10214478667037,2017-12-03 08:41:44
103,90:6c:ac:a0:7b:55,EVE,52,-73.0,721.9074685803262,35.209799109729424,32.10465583147739,2017-12-03 08:53:47
104,1c:b9:c4:15:3a:2c,Ariel_University,36,-92.0,692.0554072332519,35.21187487697705,32.105338150765675,2017-12-03 08:39:37
105,c0:bd:d1:d5:8c:55,AndroidAP,6,-80.0,696.5,35.20921578,32.10312597,2017-12-03 08:58:43
106,b2:6c:ac:a0:7b:4d,magneto,11,-63.0,694.9662566501792,35.20999833380823,32.10473212586949,2017-12-03 08:49:55
107,1c:b9:c4:95:ec:37,,36,-79.0,699.3847452618824,35.20967767182609,32.10298166965829,2017-12-03 08:42:08
108,1c:b9:c4:14:2c:3c,Ariel_University,52,-80.0,697.5563349291165,35.20997310176065,32.10305139380857,2017-12-03 08:51:09
109,1c:b9:c4:16:ee:9c,Ariel_University,36,-85.0,696.4473308693133,35.20992068942939,32.10259716125353,2017-12-03 09:08:45
