
b2:6c:ac:9f:f1:c5,paysday,2,-82.0,720.9522612107127,35.209501432834735,32.10439907437414,2017-12-03 08:53:38
3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,6,-61.0,698.4515190271773,35.20972713062699,32.103112658795794,2017-12-03 08:42:08
1c:b9:c4:16:e5:a8,Ariel_University,6,-76.0,698.72256910716,35.210056997974235,32.10360044915835,2017-12-03 08:47:06
1c:b9:c4:16:12:e8,Ariel_University,1,-90.0,702.3207686528216,35.20879532777539,32.10358120061593,2017-12-03 08:45:42
ec:8c:a2:88:94:17,,44,-72.0,700.4360586099152,35.20875733458957,32.10304417934987,2017-12-03 08:54:21
06:ae:db:3a:64:05,BezeqFree,1,-84.0,694.8881937656644,35.20743113335047,32.102458386443125,2017-12-03 08:37:27
1c:b9:c4:16:ed:3c,Ariel_University,44,-71.0,702.6688538585719,35.20973611954289,32.103085898385494,2017-12-03 08:55:08
1c:b9:c4:14:36:fc,Ariel_University,36,-84.0,704.2993113818352,35.2111784466841,32.10423235881814,2017-12-03 08:42:38
d0:0f:6d:f1:35:2f,Sveta,4,-85.0,698.9056862429085,35.20734901460898,32.10251814263996,2017-12-03 08:37:15
ec:8c:a2:88:a9:27,,44,-81.0,690.4231966047739,35.207818162044134,32.10377986390148,2017-12-03 08:38:22
ec:8c:a2:08:a9:28,Ariel_University,11,-71.0,690.5070726021237,35.20781670936575,32.10361868733057,2017-12-03 08:38:25
1c:b9:c4:15:3a:3c,Ariel_University,44,-82.0,691.3318336450411,35.20957634222167,32.102049198139355,2017-12-03 08:41:47
b2:6c:ac:a0:3d:eb,sinusafe,3,-72.0,695.8661582544762,35.20907040146158,32.103469311431084,2017-12-03 08:50:16
ec:8c:a2:08:a9:2c,Ariel_University,44,-81.0,690.3776746163047,35.20783180358039,32.103766485175285,2017-12-03 08:37:52
1c:b9:c4:16:04:7c,Ariel_University,60,-81.0,701.5734623007163,35.20939921466433,32.10222164490065,2017-12-03 08:41:53
14:ae:db:58:0d:6d,__ery,11,-91.0,693.1085203108703,35.20759021123835,32.10258798763252,2017-12-03 08:37:33
1c:b9:c4:16:ed:48,Ariel_University,6,-81.0,701.6270681508214,35.21010687671902,32.10362650826191,2017-12-03 09:03:21
00:1a:dd:f4:fc:85,Afikim_Wifi,8,-78.0,689.2763252871639,35.21194838735254,32.106211489963755,2017-12-03 08:39:19
ec:8c:a2:08:94:18,Ariel_University,1,-60.0,691.8273694760404,35.20894168563406,32.10288979029763,2017-12-03 08:41:31
ec:8c:a2:08:a9:38,Ariel_University,6,-81.0,695.1730814282531,35.207536172161696,32.10276968784859,2017-12-03 08:37:13
f8:e7:1e:33:87:38,Police_Shomron ,1,-86.0,689.2763252871639,35.21194838735254,32.106211489963755,2017-12-03 08:39:19
00:1a:dd:f4:fc:84,,8,-77.0,689.2763252871639,35.21194838735254,32.106211489963755,2017-12-03 08:39:19
